Question,SQL Query,Method,Table,Label
What is the cost of the Apple Watch Series 8 when classified under the smartphone category?,"SELECT Price FROM ElectronicsProducts WHERE ProductName = ""Apple Watch Series 8"" AND ProductCategory = ""Smartphone"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProductCategory</th>
      <th>Laptop</th>
      <th>Smartphone</th>
      <th>Smartwatch</th>
      <th>Tablet</th>
    </tr>
    <tr>
      <th>ProductName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Apple Watch Series 8</th>
      <td>450.500503</td>
      <td>907.929214</td>
      <td>1818.961514</td>
      <td>665.317994</td>
    </tr>
    <tr>
      <th>Dell XPS 13</th>
      <td>859.536917</td>
      <td>1411.719797</td>
      <td>175.365515</td>
      <td>137.481921</td>
    </tr>
    <tr>
      <th>Samsung Galaxy Tab S8</th>
      <td>1236.799081</td>
      <td>1788.772352</td>
      <td>1414.467691</td>
      <td>721.461508</td>
    </tr>
    <tr>
      <th>iPhone 14 Pro</th>
      <td>1617.116200</td>
      <td>563.624271</td>
      <td>950.355201</td>
      <td>1249.755848</td>
    </tr>
  </tbody>
</table>",907.929214
What is the length of the warranty offered by Sony for their smartwatch model?,"SELECT WarrantyPeriod FROM ElectronicsProducts WHERE BrandName = ""Sony"" AND ProductType = ""Smartwatch"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>ProductType</th>
      <th>Laptop</th>
      <th>Smartphone</th>
      <th>Smartwatch</th>
      <th>Tablet</th>
    </tr>
    <tr>
      <th>BrandName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Apple</th>
      <td>2.751763</td>
      <td>1.155470</td>
      <td>0.466337</td>
      <td>3.877172</td>
    </tr>
    <tr>
      <th>Dell</th>
      <td>2.005379</td>
      <td>3.271554</td>
      <td>1.179368</td>
      <td>4.781794</td>
    </tr>
    <tr>
      <th>LG</th>
      <td>0.959516</td>
      <td>2.197028</td>
      <td>1.134021</td>
      <td>3.283742</td>
    </tr>
    <tr>
      <th>Samsung</th>
      <td>2.265471</td>
      <td>3.021735</td>
      <td>2.476491</td>
      <td>2.839672</td>
    </tr>
    <tr>
      <th>Sony</th>
      <td>2.197891</td>
      <td>2.555145</td>
      <td>3.151395</td>
      <td>0.480680</td>
    </tr>
  </tbody>
</table>",3.151395
What hue corresponds to plastic paper clips of superior quality according to the office supplies data?,"SELECT Color FROM OfficeSupplies WHERE ProductDescription = ""High-quality paper clips"" AND MaterialType = ""Plastic"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr>
      <th>Color</th>
      <th colspan=""3"" halign=""left"">Black</th>
      <th colspan=""2"" halign=""left"">Blue</th>
      <th colspan=""4"" halign=""left"">Green</th>
      <th colspan=""3"" halign=""left"">Red</th>
    </tr>
    <tr>
      <th>MaterialType</th>
      <th>Paper</th>
      <th>Plastic</th>
      <th>Wood</th>
      <th>Paper</th>
      <th>Wood</th>
      <th>Metal</th>
      <th>Paper</th>
      <th>Plastic</th>
      <th>Wood</th>
      <th>Paper</th>
      <th>Plastic</th>
      <th>Wood</th>
    </tr>
    <tr>
      <th>ProductDescription</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Eco-friendly notebook</th>
      <td>4.918370</td>
      <td>2.884768</td>
      <td>4.219276</td>
      <td>3.513631</td>
      <td>0.909215</td>
      <td>3.253561</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>0.481621</td>
      <td>4.081958</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>High-quality paper clips</th>
      <td>2.448315</td>
      <td>NaN</td>
      <td>3.512211</td>
      <td>2.630010</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>4.877845</td>
      <td>3.888369</td>
      <td>4.579870</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Stapler with ergonomic design</th>
      <td>1.712104</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>1.718480</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>2.634507</td>
      <td>4.410514</td>
      <td>0.148496</td>
      <td>0.958808</td>
    </tr>
  </tbody>
</table>",Green
In which year did the smartwatch model named Google Pixel 6 become available on the market?,"SELECT ReleaseYear FROM ElectronicGadgets WHERE GadgetName = ""Google Pixel 6"" AND GadgetType = ""smartwatch"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>GadgetType</th>
      <th>laptop</th>
      <th>smartphone</th>
      <th>smartwatch</th>
      <th>tablet</th>
    </tr>
    <tr>
      <th>GadgetName</th>
      <th>ReleaseYear</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""4"" valign=""top"">Dell XPS 13</th>
      <th>2020</th>
      <td>NaN</td>
      <td>108.327308</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2021</th>
      <td>1860.133332</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>613.468188</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>1793.241598</td>
      <td>1366.456050</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Google Pixel 6</th>
      <th>2020</th>
      <td>490.525312</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>770.649343</td>
    </tr>
    <tr>
      <th>2021</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>418.613933</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>930.190838</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>847.239652</td>
      <td>446.631599</td>
      <td>680.791684</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Samsung Galaxy S22</th>
      <th>2021</th>
      <td>1625.161937</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>NaN</td>
      <td>584.365461</td>
      <td>NaN</td>
      <td>1081.978100</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>1262.481191</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">iPhone 14</th>
      <th>2020</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>119.527062</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2022</th>
      <td>NaN</td>
      <td>6.813945</td>
      <td>1108.700970</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>2023</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>1925.563719</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",2023.0
What is the primary material used to manufacture the drill classified under hand tools?,"SELECT MaterialUsed FROM ToolsCatalog WHERE ToolName = ""Drill"" AND ToolCategory = ""Hand Tools"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ToolName</th>
      <th>Drill</th>
      <th>Hammer</th>
      <th>Pliers</th>
      <th>Screwdriver</th>
      <th>Wrench</th>
    </tr>
    <tr>
      <th>ToolCategory</th>
      <th>MaterialUsed</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Gardening Tools</th>
      <th>Aluminum</th>
      <td>323.010196</td>
      <td>NaN</td>
      <td>308.546767</td>
      <td>440.269544</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Plastic</th>
      <td>170.278264</td>
      <td>250.228763</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>457.745235</td>
    </tr>
    <tr>
      <th>Steel</th>
      <td>437.231267</td>
      <td>187.407628</td>
      <td>52.188266</td>
      <td>NaN</td>
      <td>398.653495</td>
    </tr>
    <tr>
      <th>Hand Tools</th>
      <th>Aluminum</th>
      <td>417.317257</td>
      <td>376.803294</td>
      <td>343.094128</td>
      <td>NaN</td>
      <td>285.131071</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Power Tools</th>
      <th>Aluminum</th>
      <td>NaN</td>
      <td>295.153543</td>
      <td>143.396867</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Plastic</th>
      <td>359.419828</td>
      <td>493.214830</td>
      <td>NaN</td>
      <td>427.930062</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Steel</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>348.147755</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",Aluminum
"Which brand manufactures the product labeled as ""Comprehensive planner for effective time management"" but listed under the stapler category?","SELECT Brand FROM OfficeSupplies WHERE ItemDescription = ""Comprehensive planner for effective time management"" AND ItemCategory = ""Staplers"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ItemDescription</th>
      <th>Comprehensive planner for effective time management</th>
      <th>Durable ballpoint pens in assorted colors</th>
      <th>High-quality stapler with ergonomic design</th>
      <th>Office-grade printer paper, A4 size</th>
    </tr>
    <tr>
      <th>ItemCategory</th>
      <th>Brand</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Paper</th>
      <th>Hammermill</th>
      <td>NaN</td>
      <td>13.549183</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Moleskine</th>
      <td>24.296431</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Staples</th>
      <td>37.478322</td>
      <td>35.490516</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Pens</th>
      <th>Hammermill</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>39.087020</td>
    </tr>
    <tr>
      <th>Moleskine</th>
      <td>21.278484</td>
      <td>16.164423</td>
      <td>2.037675</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Staples</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>28.163976</td>
      <td>4.022906</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Planners</th>
      <th>Hammermill</th>
      <td>NaN</td>
      <td>24.179394</td>
      <td>16.549950</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Moleskine</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>7.179483</td>
    </tr>
    <tr>
      <th>Staples</th>
      <td>NaN</td>
      <td>43.429366</td>
      <td>36.648088</td>
      <td>43.068825</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">Staplers</th>
      <th>BIC</th>
      <td>29.404060</td>
      <td>45.847070</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Hammermill</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>24.848050</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Staples</th>
      <td>NaN</td>
      <td>38.735745</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",BIC
What is the selling price of the Blender manufactured by the brand Ninja?,"SELECT Price FROM KitchenAppliances WHERE ApplianceName = ""Blender"" AND BrandName = ""Ninja"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ApplianceName</th>
      <th>Blender</th>
      <th>Coffee Maker</th>
      <th>Electric Kettle</th>
      <th>Microwave Oven</th>
      <th>Toaster</th>
    </tr>
    <tr>
      <th>BrandName</th>
      <th>EnergyRating</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Breville</th>
      <th>B</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>416.531134</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>C</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>46.089045</td>
    </tr>
    <tr>
      <th>D</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>48.379418</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Cuisinart</th>
      <th>A</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>331.021914</td>
    </tr>
    <tr>
      <th>B</th>
      <td>NaN</td>
      <td>125.092982</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>C</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>309.576631</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>D</th>
      <td>97.180279</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>445.185249</td>
      <td>329.240209</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Hamilton Beach</th>
      <th>B</th>
      <td>NaN</td>
      <td>245.638670</td>
      <td>NaN</td>
      <td>414.598102</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>D</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>490.498903</td>
      <td>193.886335</td>
      <td>129.990838</td>
    </tr>
    <tr>
      <th rowspan=""3"" valign=""top"">KitchenAid</th>
      <th>A</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>483.136209</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>B</th>
      <td>390.596947</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>D</th>
      <td>NaN</td>
      <td>192.396929</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>221.980331</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Ninja</th>
      <th>B</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>90.031417</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>D</th>
      <td>435.777680</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",435.77768
"Which brand manufactures an eraser product named ""Spiral Notebook""?","SELECT BrandName FROM StationeryProducts WHERE ProductName = ""Spiral Notebook"" AND ProductType = ""Eraser"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>BrandName</th>
      <th>Faber-Castell</th>
      <th>Moleskine</th>
      <th>Pilot</th>
      <th>Staedtler</th>
    </tr>
    <tr>
      <th>ProductName</th>
      <th>ProductType</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""3"" valign=""top"">Gel Ink Pen</th>
      <th>Notebook</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>23.360047</td>
    </tr>
    <tr>
      <th>Pen</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>1.979209</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pencil</th>
      <td>1.572559</td>
      <td>38.840866</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Highlighter</th>
      <th>Marker</th>
      <td>NaN</td>
      <td>43.144178</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Notebook</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>30.856007</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pen</th>
      <td>NaN</td>
      <td>36.922169</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pencil</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>25.961391</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Mechanical Pencil</th>
      <th>Eraser</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>22.379963</td>
    </tr>
    <tr>
      <th>Marker</th>
      <td>NaN</td>
      <td>3.875438</td>
      <td>NaN</td>
      <td>10.783266</td>
    </tr>
    <tr>
      <th>Pen</th>
      <td>NaN</td>
      <td>19.111702</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pencil</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>42.668879</td>
      <td>13.463039</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Permanent Marker</th>
      <th>Eraser</th>
      <td>7.378234</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Marker</th>
      <td>28.814377</td>
      <td>30.583368</td>
      <td>18.892211</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""2"" valign=""top"">Spiral Notebook</th>
      <th>Eraser</th>
      <td>32.565845</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pencil</th>
      <td>38.081640</td>
      <td>NaN</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
  </tbody>
</table>",Faber-Castell
What is the hue of the gel pen classified under writing tools?,"SELECT Color FROM OfficeSupplies WHERE ProductName = ""Gel Pen - Blue"" AND ProductCategory = ""Writing Instruments"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th></th>
      <th>ProductName</th>
      <th>Gel Pen - Blue</th>
      <th>Highlighter - Neon Yellow</th>
      <th>Sticky Notes - Assorted Colors</th>
    </tr>
    <tr>
      <th>ProductCategory</th>
      <th>Color</th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th rowspan=""5"" valign=""top"">Desk Accessories</th>
      <th>Black</th>
      <td>NaN</td>
      <td>NaN</td>
      <td>293.222799</td>
    </tr>
    <tr>
      <th>Blue</th>
      <td>720.063121</td>
      <td>718.068113</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Green</th>
      <td>NaN</td>
      <td>453.447283</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pink</th>
      <td>993.851765</td>
      <td>917.826276</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Yellow</th>
      <td>839.422729</td>
      <td>230.890599</td>
      <td>277.098795</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Paper Products</th>
      <th>Black</th>
      <td>195.671870</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Blue</th>
      <td>NaN</td>
      <td>723.262068</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Green</th>
      <td>843.182800</td>
      <td>NaN</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Yellow</th>
      <td>NaN</td>
      <td>267.106074</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th rowspan=""4"" valign=""top"">Writing Instruments</th>
      <th>Black</th>
      <td>NaN</td>
      <td>526.968791</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Blue</th>
      <td>798.530789</td>
      <td>895.001444</td>
      <td>402.953031</td>
    </tr>
    <tr>
      <th>Green</th>
      <td>NaN</td>
      <td>290.073288</td>
      <td>NaN</td>
    </tr>
    <tr>
      <th>Pink</th>
      <td>NaN</td>
      <td>424.026013</td>
      <td>106.924633</td>
    </tr>
  </tbody>
</table>",Blue
What is the weight measurement listed for the Apple iPhone 13 model under the Sony brand category?,"SELECT Weight FROM ElectronicsProductDetails WHERE ProductName = ""Apple iPhone 13"" AND Brand = ""Sony"";",extractive,"<table border=""1"" class=""dataframe"">
  <thead>
    <tr style=""text-align: right;"">
      <th>Brand</th>
      <th>Apple</th>
      <th>Dell</th>
      <th>Samsung</th>
      <th>Sony</th>
    </tr>
    <tr>
      <th>ProductName</th>
      <th></th>
      <th></th>
      <th></th>
      <th></th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <th>Apple iPhone 13</th>
      <td>0.997830</td>
      <td>0.295511</td>
      <td>2.152724</td>
      <td>2.888808</td>
    </tr>
    <tr>
      <th>Dell XPS 13</th>
      <td>2.125951</td>
      <td>1.424782</td>
      <td>1.818588</td>
      <td>1.166775</td>
    </tr>
    <tr>
      <th>Samsung Galaxy S21</th>
      <td>1.555867</td>
      <td>2.212793</td>
      <td>0.483275</td>
      <td>1.871798</td>
    </tr>
    <tr>
      <th>Sony WH-1000XM4</th>
      <td>0.847412</td>
      <td>1.568496</td>
      <td>1.894123</td>
      <td>0.472603</td>
    </tr>
  </tbody>
</table>",2.888808
