order_id,item_id,quantity,list_price,discount,order_status,order_month,store_id,staff_id,customer_city,customer_state,store_name,store_city,store_state,product_name,model_year,brand_name,category_name
1,1,1,599.99,0.2,4,2016010,1,2,Pleasanton,CA,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D EQ - Women's - 2016,2016,Electra,Cruisers Bicycles
1,2,2,1799.99,0.07,4,2016010,1,2,Pleasanton,CA,Santa Cruz Bikes,Santa Cruz,CA,Trek Remedy 29 Carbon Frameset - 2016,2016,Trek,Mountain Bikes
1,3,2,1549.0,0.05,4,2016010,1,2,Pleasanton,CA,Santa Cruz Bikes,Santa Cruz,CA,Surly Straggler - 2016,2016,Surly,Cyclocross Bicycles
1,4,2,599.99,0.05,4,2016010,1,2,Pleasanton,CA,Santa Cruz Bikes,Santa Cruz,CA,Electra Townie Original 7D EQ - 2016,2016,Electra,Cruisers Bicycles
1,5,1,2899.99,0.2,4,2016010,1,2,Pleasanton,CA,Santa Cruz Bikes,Santa Cruz,CA,Trek Fuel EX 8 29 - 2016,2016,Trek,Mountain Bikes
2,1,1,599.99,0.07,4,2016010,2,6,Huntington Station,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 7D EQ - Women's - 2016,2016,Electra,Cruisers Bicycles
2,2,2,599.99,0.05,4,2016010,2,6,Huntington Station,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 7D EQ - 2016,2016,Electra,Cruisers Bicycles
3,1,1,999.99,0.05,4,2016010,2,7,Patchogue,NY,Baldwin Bikes,Baldwin,NY,Surly Wednesday Frameset - 2016,2016,Surly,Mountain Bikes
3,2,1,599.99,0.05,4,2016010,2,7,Patchogue,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 7D EQ - Women's - 2016,2016,Electra,Cruisers Bicycles
4,1,2,749.99,0.1,4,2016010,1,3,Duarte,CA,Santa Cruz Bikes,Santa Cruz,CA,Ritchey Timberwolf Frameset - 2016,2016,Ritchey,Mountain Bikes
5,1,2,1549.0,0.05,4,2016010,2,6,Utica,NY,Baldwin Bikes,Baldwin,NY,Surly Straggler - 2016,2016,Surly,Cyclocross Bicycles
5,2,1,429.0,0.07,4,2016010,2,6,Utica,NY,Baldwin Bikes,Baldwin,NY,Pure Cycles Vine 8-Speed - 2016,2016,Pure Cycles,Cruisers Bicycles
5,3,1,599.99,0.07,4,2016010,2,6,Utica,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 7D EQ - 2016,2016,Electra,Comfort Bicycles
6,1,1,449.0,0.07,4,2016010,2,6,Baldwinsville,NY,Baldwin Bikes,Baldwin,NY,Pure Cycles Western 3-Speed - Women's - 2015/2016,2016,Pure Cycles,Cruisers Bicycles
6,2,2,549.99,0.05,4,2016010,2,6,Baldwinsville,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 21D - 2016,2016,Electra,Cruisers Bicycles
6,3,1,599.99,0.1,4,2016010,2,6,Baldwinsville,NY,Baldwin Bikes,Baldwin,NY,Electra Townie Original 7D EQ - Women's - 2016,2016,Electra,Cruisers Bicycles
6,4,2,999.99,0.07,4,2016010,2,6,Baldwinsville,NY,Baldwin Bikes,Baldwin,NY,Surly Wednesday Frameset - 2016,2016,Surly,Mountain Bikes
6,5,2,2999.99,0.07,4,2016010,2,6,Baldwinsville,NY,Baldwin Bikes,Baldwin,NY,Trek Conduit+ - 2016,2016,Trek,Electric Bikes
7,1,1,529.99,0.07,4,2016010,2,6,Bellmore,NY,Baldwin Bikes,Baldwin,NY,Electra Moto 1 - 2016,2016,Electra,Cruisers Bicycles
7,2,1,999.99,0.1,4,2016010,2,6,Bellmore,NY,Baldwin Bikes,Baldwin,NY,Surly Wednesday Frameset - 2016,2016,Surly,Mountain Bikes
