ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerID,CustomerName,Address,City,Region,PostalCode,Country,Salesperson,OrderID,OrderDate,RequiredDate,ShippedDate,ShipperName,ProductID,ProductName,UnitPrice,Quantity,Discount,ExtendedPrice,Freight
Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,0,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,11,Queso Cabrales,14.0,12,0.0,168.0,32.38
Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,0,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,42,Singaporean Hokkien Fried Mee,9.8,10,0.0,98.0,32.38
Vins et alcools Chevalier,59 rue de l-Abbaye,Reims,,51100,France,VINET,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,0,10248,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,Federal Shipping,72,Mozzarella di Giovanni,34.8,5,0.0,174.0,32.38
Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,TOMSP,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,0,10249,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,Speedy Express,14,Tofu,18.6,9,0.0,167.4,11.61
Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,TOMSP,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,0,10249,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,Speedy Express,51,Manjimup Dried Apples,42.4,40,0.0,1696.0,11.61
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,41,Jack's New England Clam Chowder,7.7,10,0.0,77.0,65.83
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,51,Manjimup Dried Apples,42.4,35,0.15,1261.3999999999999,65.83
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10250,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,United Package,65,Louisiana Fiery Hot Pepper Sauce,16.8,15,0.15,214.2,65.83
Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,VICTE,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,0,10251,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Speedy Express,22,Gustaf's Knäckebröd,16.8,6,0.05,95.76,41.34
Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,VICTE,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,0,10251,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Speedy Express,57,Ravioli Angelo,15.6,15,0.05,222.29999999999998,41.34
Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,VICTE,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,0,10251,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,Speedy Express,65,Louisiana Fiery Hot Pepper Sauce,16.8,20,0.0,336.0,41.34
Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,SUPRD,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,0,10252,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,United Package,20,Sir Rodney's Marmalade,64.8,40,0.05,2462.4,51.3
Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,SUPRD,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,0,10252,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,United Package,33,Geitost,2.0,25,0.05,47.5,51.3
Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,SUPRD,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,0,10252,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,United Package,60,Camembert Pierrot,27.2,40,0.0,1088.0,51.3
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10253,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,United Package,31,Gorgonzola Telino,10.0,20,0.0,200.0,58.17
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10253,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,United Package,39,Chartreuse verte,14.4,42,0.0,604.8000000000001,58.17
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,HANAR,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,0,10253,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,United Package,49,Maxilaku,16.0,40,0.0,640.0,58.17
Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,CHOPS,Chop-suey Chinese,Hauptstr. 29,Bern,,3012,Switzerland,0,10254,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,United Package,24,Guaraná Fantástica,3.6,15,0.15,45.9,22.98
Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,CHOPS,Chop-suey Chinese,Hauptstr. 29,Bern,,3012,Switzerland,0,10254,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,United Package,55,Pâté chinois,19.2,21,0.15,342.71999999999997,22.98
Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Switzerland,CHOPS,Chop-suey Chinese,Hauptstr. 29,Bern,,3012,Switzerland,0,10254,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,United Package,74,Longlife Tofu,8.0,21,0.0,168.0,22.98
Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,RICSU,Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland,0,10255,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,Federal Shipping,2,Chang,15.2,20,0.0,304.0,148.33
Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,RICSU,Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland,0,10255,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,Federal Shipping,16,Pavlova,13.9,35,0.0,486.5,148.33
Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,RICSU,Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland,0,10255,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,Federal Shipping,36,Inlagd Sill,15.2,25,0.0,380.0,148.33
Richter Supermarkt,Starenweg 5,Genève,,1204,Switzerland,RICSU,Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland,0,10255,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,Federal Shipping,59,Raclette Courdavault,44.0,30,0.0,1320.0,148.33
