sales_id,month_name,month,quarter,year,is_weekend,gender,customer_country,customer_state,customer_city,category,brand,product_name,region,store_country,store_city,quantity_sold,unit_price,discount,total_amount
1,April,4,2,2025,1,F,Togo,Washington,East Tinamouth,Clothing,BrandC,Figure Method,Central,United Kingdom,Michaelfort,4,32.42,35.64,94.04
2,May,5,2,2024,0,M,Switzerland,North Dakota,Cindyville,Toys,BrandA,Good Both,North,Ethiopia,Ramirezhaven,4,340.62,37.93,1324.55
3,February,2,1,2025,0,F,Mozambique,Arizona,East Katherineborough,Electronics,BrandC,Every Watch,South,United States Virgin Islands,South Ryan,4,259.48,33.39,1004.53
4,December,12,4,2023,1,F,France,Virginia,South Randy,Clothing,BrandA,Medical Produce,West,Benin,Lopezchester,9,665.74,42.55,5949.11
5,April,4,2,2025,0,F,Algeria,Arizona,Lake Earlview,Electronics,BrandB,Available Take,Central,Guadeloupe,Lake Matthewton,9,44.25,38.12,360.13
6,July,7,3,2025,0,F,Tanzania,Indiana,Port Robertstad,Home & Kitchen,BrandE,List Professor,Central,Cuba,Barnettfort,5,303.22,44.36,1471.74
7,April,4,2,2024,1,M,France,Georgia,Tuckerside,Home & Kitchen,BrandA,Make System,East,Finland,North Stacyport,5,960.56,16.9,4785.9
8,January,1,1,2025,0,M,Monaco,Washington,Hollyland,Clothing,BrandB,Evidence Decide,West,Nicaragua,South Brianhaven,4,665.54,4.5,2657.66
9,August,8,3,2025,0,F,Zimbabwe,Georgia,Craigport,Home & Kitchen,BrandD,Music Lawyer,Central,Egypt,South Kyle,9,54.16,49.16,438.28
10,November,11,4,2024,1,F,Jamaica,Texas,Lake Jeffreyville,Toys,BrandC,Experience She,East,Montenegro,Port Kevinberg,6,264.8,25.98,1562.82
11,September,9,3,2025,0,F,Iraq,Georgia,Bennettchester,Electronics,BrandA,Quickly Issue,Central,Bulgaria,New Melissa,8,202.31,30.13,1588.35
12,June,6,2,2025,0,M,El Salvador,New York,Port Dana,Clothing,BrandA,Record Would,North,Montenegro,Tylerhaven,4,244.77,0.79,978.29
13,September,9,3,2025,0,F,Gabon,Connecticut,New Deniseland,Clothing,BrandD,Lot Toward,North,Denmark,South Michaelfurt,4,687.64,25.32,2725.24
14,November,11,4,2024,0,F,Romania,Oklahoma,West Ian,Clothing,BrandC,Send Story,West,Canada,South Shari,6,790.91,16.44,4729.02
15,November,11,4,2024,1,F,Luxembourg,Hawaii,Tracyview,Sports,BrandD,Receive Total,East,Costa Rica,Jamieport,9,198.48,37.31,1749.01
16,February,2,1,2025,1,F,Bulgaria,Louisiana,New Darrenside,Home & Kitchen,BrandD,Reflect Many,Central,Malawi,Lake Hollyside,3,921.64,0.12,2764.8
17,September,9,3,2025,1,M,Finland,Michigan,West Andrea,Sports,BrandA,Effort Statement,Central,Sudan,Whitneyborough,4,82.47,46.51,283.37
18,July,7,3,2025,0,M,Swaziland,West Virginia,Port Sandra,Home & Kitchen,BrandA,Role Result,Central,Bulgaria,New Melissa,2,402.79,12.47,793.11
19,March,3,1,2025,1,M,Sri Lanka,Illinois,South Pamela,Sports,BrandB,Benefit Popular,West,Venezuela,Lake Sethfurt,4,740.71,35.74,2927.1
20,November,11,4,2023,0,M,Andorra,Wyoming,Roberthaven,Electronics,BrandE,Student Court,East,Montenegro,Port Kevinberg,3,782.76,41.07,2307.21
21,July,7,3,2025,0,F,Saint Martin,California,New Angela,Books,BrandE,Resource Cause,West,Congo,Gibsonhaven,3,814.87,32.35,2412.26
22,December,12,4,2023,0,F,Japan,Massachusetts,East Michaelfurt,Toys,BrandA,Exactly Human,West,Nauru,South Spencershire,7,945.99,29.02,6592.91
23,April,4,2,2025,0,M,Micronesia,West Virginia,Wileyhaven,Toys,BrandA,Attention Test,West,Venezuela,Lake Sethfurt,9,313.01,27.17,2789.92
24,February,2,1,2024,0,M,Finland,Hawaii,Denisefurt,Toys,BrandD,Will Peace,West,Benin,Lopezchester,9,952.74,13.59,8561.07
25,August,8,3,2024,0,M,Fiji,Rhode Island,Amandahaven,Books,BrandE,Concern Really,West,Nicaragua,South Brianhaven,10,765.39,34.5,7619.4
26,April,4,2,2025,0,M,Belize,Maryland,Oliverside,Electronics,BrandE,Mean Operation,West,Bolivia,Port Matthewhaven,10,604.36,2.28,6041.32
27,June,6,2,2024,1,F,Mauritania,Iowa,South Amber,Toys,BrandC,Response White,Central,Sudan,Whitneyborough,5,81.77,28.27,380.58
28,November,11,4,2023,1,M,China,Maryland,North Jennifer,Clothing,BrandA,Over Raise,Central,Egypt,South Kyle,5,439.56,17.14,2180.66
29,August,8,3,2025,0,M,Antigua and Barbuda,Colorado,Brownmouth,Sports,BrandD,Occur Eye,South,Jamaica,Deleonmouth,9,288.53,26.57,2570.2
30,February,2,1,2024,0,M,China,Georgia,West Ginachester,Toys,BrandB,Edge Always,North,Ethiopia,Ramirezhaven,6,718.71,27.05,4285.21
31,January,1,1,2025,0,M,Germany,Nevada,New Williamside,Clothing,BrandA,Huge Change,West,Venezuela,Lake Sethfurt,4,205.04,4.87,815.29
32,August,8,3,2025,0,M,Paraguay,Texas,New Billyshire,Clothing,BrandE,College Environment,East,Finland,North Stacyport,5,324.41,6.59,1615.46
33,June,6,2,2025,1,F,Micronesia,Mississippi,West Carolyn,Sports,BrandC,Senior Draw,East,Aruba,North Matthew,6,460.83,3.67,2761.31
34,July,7,3,2025,0,M,Nigeria,Alaska,Scottview,Sports,BrandE,Sit Radio,Central,Christmas Island,New Paultown,5,883.03,8.27,4406.88
35,January,1,1,2025,0,M,French Guiana,West Virginia,South Jeffrey,Clothing,BrandC,Long Significant,North,Barbados,Port Ryanland,7,976.0,27.86,6804.14
36,March,3,1,2024,1,F,Uganda,Connecticut,South Mark,Home & Kitchen,BrandE,Shake Here,North,Singapore,West Josephton,4,569.24,6.89,2270.07
37,January,1,1,2025,0,M,Kazakhstan,Connecticut,Bakerstad,Clothing,BrandC,Face Movie,West,Botswana,Kimberlyshire,8,575.2,31.12,4570.48
38,December,12,4,2023,1,F,Martinique,Indiana,Jessicashire,Electronics,BrandD,Discussion Stop,Central,Bangladesh,Perezview,10,961.91,19.83,9599.27
39,March,3,1,2025,0,F,Turkmenistan,Missouri,South Nancy,Home & Kitchen,BrandD,Music Lawyer,South,Jamaica,Deleonmouth,2,741.47,36.77,1446.17
40,June,6,2,2025,0,F,Benin,Ohio,West Eric,Toys,BrandB,Blue Mission,Central,Cuba,Barnettfort,9,111.57,25.12,979.01
41,May,5,2,2024,0,M,Micronesia,Utah,Jamesside,Books,BrandB,Public Spend,South,Venezuela,Jonathontown,7,370.79,14.04,2581.49
42,February,2,1,2024,1,M,Gabon,South Carolina,Gonzalezberg,Books,BrandE,Impact College,East,Montenegro,Port Kevinberg,8,875.3,25.18,6977.22
43,October,10,4,2024,0,M,Papua New Guinea,West Virginia,Rivasfort,Clothing,BrandE,Say Here,South,Tuvalu,Port Tinaland,8,539.86,25.6,4293.28
44,December,12,4,2024,0,M,Bulgaria,North Carolina,Nathanberg,Home & Kitchen,BrandD,Fact Any,South,United States Virgin Islands,South Ryan,8,464.17,30.81,3682.55
45,August,8,3,2025,0,F,Vietnam,Virginia,North Sheila,Electronics,BrandE,Discuss Player,South,United States Virgin Islands,South Ryan,2,898.89,7.81,1789.97
46,June,6,2,2025,0,F,Jamaica,Minnesota,Cunninghamside,Books,BrandB,That Red,East,Aruba,North Matthew,7,270.4,33.05,1859.75
47,April,4,2,2024,0,F,Qatar,Montana,Barnettport,Sports,BrandD,Task Someone,North,Singapore,West Josephton,7,93.72,13.21,642.83
48,April,4,2,2024,0,F,Kiribati,Oregon,Harrisonshire,Home & Kitchen,BrandD,Simple Leave,West,Nauru,South Spencershire,5,403.95,37.1,1982.65
49,January,1,1,2024,0,F,Heard Island and McDonald Islands,California,Port Jennifer,Sports,BrandD,Mean Blood,West,Indonesia,Ramirezfurt,5,170.71,31.63,821.92
50,April,4,2,2024,0,M,Saint Vincent and the Grenadines,New York,East Riley,Electronics,BrandE,Reality Young,East,Bhutan,Daytown,9,986.82,5.57,8875.81
51,January,1,1,2025,0,F,Saudi Arabia,Tennessee,Wilsonville,Books,BrandB,Reach Than,Central,Malawi,Lake Hollyside,4,755.23,17.46,3003.46
52,April,4,2,2025,0,M,Lithuania,Texas,Yutown,Home & Kitchen,BrandE,Tax Commercial,South,Nauru,Port Shelley,5,749.55,6.48,3741.27
53,January,1,1,2024,0,M,Togo,Tennessee,Smithtown,Electronics,BrandC,Difficult Foreign,East,Taiwan,North Tyler,10,864.94,48.11,8601.29
54,December,12,4,2023,1,M,Grenada,Indiana,Mistybury,Books,BrandB,Ball Camera,East,Montenegro,Port Kevinberg,6,902.8,7.82,5408.98
55,February,2,1,2025,1,F,Falkland Islands (Malvinas),New York,Silvaland,Electronics,BrandB,Face That,West,Nauru,South Spencershire,2,405.7,14.14,797.26
56,June,6,2,2024,1,F,Vietnam,Virginia,North Sheila,Clothing,BrandD,Cell Last,Central,Sudan,Whitneyborough,9,446.62,29.82,3989.76
57,December,12,4,2024,1,F,Japan,South Carolina,Lewisshire,Home & Kitchen,BrandB,Big Garden,East,Finland,North Stacyport,9,930.53,14.96,8359.81
58,February,2,1,2025,1,M,Trinidad and Tobago,Montana,North Ryan,Toys,BrandD,Tv Various,Central,Christmas Island,New Paultown,2,647.79,22.37,1273.21
59,December,12,4,2024,0,F,Niue,Virginia,Hernandezfort,Books,BrandA,Through Election,East,Aruba,North Matthew,1,495.33,44.7,450.63
60,September,9,3,2024,0,M,Liechtenstein,Nevada,Louisfort,Books,BrandD,Less Other,Central,Malawi,Lake Hollyside,5,503.27,34.24,2482.11
61,April,4,2,2024,1,F,Croatia,New Hampshire,Port Josephtown,Clothing,BrandB,Tough Book,Central,Bulgaria,New Melissa,10,736.85,22.95,7345.55
62,November,11,4,2024,0,M,Ecuador,Utah,Connieville,Electronics,BrandC,Professional Bed,South,Fiji,Angelaton,1,688.76,37.32,651.44
63,November,11,4,2024,0,F,Mozambique,Arizona,East Katherineborough,Sports,BrandC,Beautiful Still,West,Nicaragua,South Brianhaven,2,754.52,42.15,1466.89
64,August,8,3,2025,0,F,Saint Martin,Missouri,Charlesberg,Clothing,BrandA,Find To,Central,Sudan,Whitneyborough,5,926.74,44.78,4588.92
65,February,2,1,2024,0,M,Bulgaria,Pennsylvania,Jamesshire,Books,BrandA,His Serve,South,United States Virgin Islands,South Ryan,2,647.23,49.88,1244.58
66,December,12,4,2023,0,F,Congo,North Carolina,South Tanya,Books,BrandA,Behind Dog,East,Aruba,North Matthew,4,52.02,47.48,160.6
67,December,12,4,2024,0,M,Montenegro,Alabama,Yatesshire,Toys,BrandA,Of Sport,South,Fiji,Angelaton,1,583.73,5.35,578.38
68,November,11,4,2023,0,M,Antigua and Barbuda,Colorado,Brownmouth,Electronics,BrandC,Professional Bed,Central,Ukraine,Clarkshire,7,178.98,37.09,1215.77
69,June,6,2,2025,0,F,Guatemala,Alaska,South Stacyborough,Home & Kitchen,BrandA,Ability Several,West,Botswana,Kimberlyshire,9,805.81,26.89,7225.4
70,December,12,4,2024,1,M,Belize,Wisconsin,Palmerton,Sports,BrandA,Peace Interview,North,New Caledonia,Jeffreyberg,5,387.52,43.17,1894.43
71,October,10,4,2024,0,F,Congo,Rhode Island,North Jerrymouth,Sports,BrandD,Work Weight,West,Canada,South Shari,3,779.76,34.21,2305.07
72,April,4,2,2024,1,M,Greece,Mississippi,Karinaland,Home & Kitchen,BrandC,Oil Government,East,Aruba,North Matthew,5,541.84,5.2,2704.0
73,January,1,1,2025,0,M,Luxembourg,Kansas,Clarkside,Electronics,BrandC,Tax Western,North,Denmark,South Michaelfurt,1,342.8,22.66,320.14
74,July,7,3,2024,0,M,Kenya,Nebraska,Smithtown,Home & Kitchen,BrandA,Clearly Set,West,Indonesia,Ramirezfurt,5,802.6,21.04,3991.96
