index,question,value,response
0,What is the average total waste in tons for the years 2022 and 2023?,4710.0, 4710.00
1,What is the increase in the amount of unsorted waste (in tons) from 2022 to 2023?,802.0, -802.00
2,What is the sum of the total waste in tons for the years 2022 and 2023?,9420.0, 9420.00
3,What is the percentage reduction in the amount of unsorted waste from 2022 to 2023?,29.09, 29.09%
4,What is the difference in total waste (T) from 2022 to 2023?,720.0, -720.00 t
5,What is the average intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2022?,18.0," 17.00, 19.00"
6,What is the increase between the intensity of GHG emissions (Scope 1+2) of operated upstream oil & gas activities in 2023 and 2022?,0.0, 0.00
7,What is the sum of intensity of GHG emissions (Scope 1+2) of operated upstream oil and gas activities and on equity basis for the year 2021?,36.0, 36.00 kg co2e/boe
8,What is the percentage reduction in the intensity of GHG emissions (Scope 1+2) of upstream oil and gas activities on an equity basis from 2021 to 2023?,5.26, 5.26%
9,What is the reduction between the intensity of methane emissions from operated oil and gas facilities (Upstream) in 2023 and 2021?,0.02, 0.02%
10,What is the percentage reduction in the intensity of methane emissions from operated oil and gas facilities (Upstream) when comparing the values from 2021 to 2022?,15.38, 15.38%
11,"What is the average intensity of methane emissions from operated oil and gas facilities (Upstream) for the years 2023, 2022, 2021, and 2015?",0.14," 0.11, 0.11, 0.13, 0.23"
12,What is the increase in the intensity of methane emissions from operated oil and gas facilities (Upstream) between the years 2015 and 2022?,-0.12, -0.12 percentage points
13,What is the average net primary energy consumption (in TWh) from the years 2015 to 2023?,155.17, 155.17 twh
14,What is the increase in renewable energy consumption (TWh) between the years 2021 and 2023?,1.0, 1.00
15,What is the total sum of the net primary energy consumption (in TWh) from the years 2015 to 2023?,931.0, 931.00
16,What is the percentage increase in the number of operated sites with annual consumption greater than 50 ktoe from 2020 to 2023?,2.38, 2.38%
17,What is the reduction between the Global Energy Efficiency Indicator (GEEI) values for the years 2022 and 2020?,5.1, 5.10
18,What is the percentage decrease in the Global Energy Efficiency Indicator (GEEI) from 2015 to 2021?,4.19, 4.18%
19,What is the average value of the Global Energy Efficiency Indicator (GEEI) from 2015 to 2023?,87.92, 87.92
